id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_7,7,Non-small cell lung cancer,map,path:hsa05223,https://www.kegg.jp/dbget-bin/www_bget?hsa05223,"{""name"": ""Non-small cell lung cancer"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 927, ""y"": 143, ""width"": 102, ""height"": 34}",[]
entry_8,8,"GRB2, ASH, EGFRBP-GRB2, Grb3-3, MST084, MSTP084, NCKAP2",gene,hsa:2885,https://www.kegg.jp/dbget-bin/www_bget?hsa:2885,"{""name"": ""GRB2, ASH, EGFRBP-GRB2, Grb3-3, MST084, MSTP084, NCKAP2"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 424, ""y"": 514, ""width"": 46, ""height"": 17}",[]
entry_9,9,ELK1,gene,hsa:2002,https://www.kegg.jp/dbget-bin/www_bget?hsa:2002,"{""name"": ""ELK1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 869, ""y"": 487, ""width"": 46, ""height"": 17}",[]
entry_10,10,"ERBB4, ALS19, HER4, p180erbB4",gene,hsa:2066,https://www.kegg.jp/dbget-bin/www_bget?hsa:2066,"{""name"": ""ERBB4, ALS19, HER4, p180erbB4"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 200, ""y"": 693, ""width"": 46, ""height"": 17}",[]
entry_11,11,"ERBB4, ALS19, HER4, p180erbB4",gene,hsa:2066,https://www.kegg.jp/dbget-bin/www_bget?hsa:2066,"{""name"": ""ERBB4, ALS19, HER4, p180erbB4"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 200, ""y"": 606, ""width"": 46, ""height"": 17}",[]
entry_12,12,"ERBB3, ErbB-3, FERLK, HER3, LCCS2, MDA-BF-1, VSCN1, c-erbB-3, c-erbB3, erbB3-S, p180-ErbB3, p45-sErbB3, p85-sErbB3",gene,hsa:2065,https://www.kegg.jp/dbget-bin/www_bget?hsa:2065,"{""name"": ""ERBB3, ErbB-3, FERLK, HER3, LCCS2, MDA-BF-1, VSCN1, c-erbB-3, c-erbB3, erbB3-S, p180-ErbB3, p45-sErbB3, p85-sErbB3"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 200, ""y"": 528, ""width"": 46, ""height"": 17}",[]
entry_13,13,"ERBB3, ErbB-3, FERLK, HER3, LCCS2, MDA-BF-1, VSCN1, c-erbB-3, c-erbB3, erbB3-S, p180-ErbB3, p45-sErbB3, p85-sErbB3",gene,hsa:2065,https://www.kegg.jp/dbget-bin/www_bget?hsa:2065,"{""name"": ""ERBB3, ErbB-3, FERLK, HER3, LCCS2, MDA-BF-1, VSCN1, c-erbB-3, c-erbB3, erbB3-S, p180-ErbB3, p45-sErbB3, p85-sErbB3"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 200, ""y"": 444, ""width"": 46, ""height"": 17}",[]
entry_14,14,"STAT5A, MGF, STAT5...",gene,hsa:6776 hsa:6777,https://www.kegg.jp/dbget-bin/www_bget?hsa:6776+hsa:6777,"{""name"": ""STAT5A, MGF, STAT5..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 377, ""y"": 539, ""width"": 46, ""height"": 17}",[]
entry_15,15,"ERBB2, CD340, HER-2, HER-2/neu, HER2, MLN_19, MLN-19, NEU, NGL, TKR1, VSCN2, c-ERB-2, c-ERB2, p185(erbB2)",gene,hsa:2064,https://www.kegg.jp/dbget-bin/www_bget?hsa:2064,"{""name"": ""ERBB2, CD340, HER-2, HER-2/neu, HER2, MLN_19, MLN-19, NEU, NGL, TKR1, VSCN2, c-ERB-2, c-ERB2, p185(erbB2)"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 200, ""y"": 676, ""width"": 46, ""height"": 17}",[]
entry_16,16,"ERBB2, CD340, HER-2, HER-2/neu, HER2, MLN_19, MLN-19, NEU, NGL, TKR1, VSCN2, c-ERB-2, c-ERB2, p185(erbB2)",gene,hsa:2064,https://www.kegg.jp/dbget-bin/www_bget?hsa:2064,"{""name"": ""ERBB2, CD340, HER-2, HER-2/neu, HER2, MLN_19, MLN-19, NEU, NGL, TKR1, VSCN2, c-ERB-2, c-ERB2, p185(erbB2)"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 200, ""y"": 511, ""width"": 46, ""height"": 17}",[]
