id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_4,4,"CHUK, BPS2, IKBKA, IKK-1, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16...",gene,hsa:1147 hsa:3551,https://www.kegg.jp/dbget-bin/www_bget?hsa:1147+hsa:3551,"{""name"": ""CHUK, BPS2, IKBKA, IKK-1, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 537, ""y"": 347, ""width"": 46, ""height"": 17}",[]
entry_5,5,"MAPK8, JNK, JNK-46, JNK1, JNK1A2, JNK21B1/2, PRKM8, SAPK1, SAPK1c...",gene,hsa:5599 hsa:5601 hsa:5602,https://www.kegg.jp/dbget-bin/www_bget?hsa:5599+hsa:5601+hsa:5602,"{""name"": ""MAPK8, JNK, JNK-46, JNK1, JNK1A2, JNK21B1/2, PRKM8, SAPK1, SAPK1c..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 486, ""y"": 258, ""width"": 46, ""height"": 17}",[]
entry_6,6,"MAPK1, ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK...",gene,hsa:5594 hsa:5595,https://www.kegg.jp/dbget-bin/www_bget?hsa:5594+hsa:5595,"{""name"": ""MAPK1, ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 605, ""y"": 631, ""width"": 46, ""height"": 17}",[]
entry_7,7,"PRKAG2, AAKG, AAKG2, CMH6, H91620p, WPWS...",gene,hsa:51422 hsa:53632 hsa:5562 hsa:5563 hsa:5564 hsa:5565 hsa:5571,https://www.kegg.jp/dbget-bin/www_bget?hsa:51422+hsa:53632+hsa:5562+hsa:5563+hsa:5564+hsa:5565+hsa:5571,"{""name"": ""PRKAG2, AAKG, AAKG2, CMH6, H91620p, WPWS..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 486, ""y"": 225, ""width"": 46, ""height"": 17}",[]
entry_8,8,"INS, IDDM, IDDM1, IDDM2, ILPR, IRDN, MODY10, PNDM4",gene,hsa:3630,https://www.kegg.jp/dbget-bin/www_bget?hsa:3630,"{""name"": ""INS, IDDM, IDDM1, IDDM2, ILPR, IRDN, MODY10, PNDM4"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 93, ""y"": 392, ""width"": 46, ""height"": 17}",[]
entry_9,9,C00031,compound,cpd:C00031,https://www.kegg.jp/dbget-bin/www_bget?C00031,"{""name"": ""C00031"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 90, ""y"": 269, ""width"": 8, ""height"": 8}",[]
entry_10,10,FOXO6...,gene,hsa:100132074 hsa:2308 hsa:2309 hsa:4303,https://www.kegg.jp/dbget-bin/www_bget?hsa:100132074+hsa:2308+hsa:2309+hsa:4303,"{""name"": ""FOXO6..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 693, ""y"": 380, ""width"": 46, ""height"": 17}",[]
entry_11,11,"SOS1, GF1, GGF1, GINGF, HGF, NS4, SOS-1...",gene,hsa:6654 hsa:6655,https://www.kegg.jp/dbget-bin/www_bget?hsa:6654+hsa:6655,"{""name"": ""SOS1, GF1, GGF1, GINGF, HGF, NS4, SOS-1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 317, ""y"": 631, ""width"": 46, ""height"": 17}",[]
entry_12,12,"HRAS, C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras...",gene,hsa:3265 hsa:3845 hsa:4893,https://www.kegg.jp/dbget-bin/www_bget?hsa:3265+hsa:3845+hsa:4893,"{""name"": ""HRAS, C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 389, ""y"": 631, ""width"": 46, ""height"": 17}",[]
entry_13,13,"MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1...",gene,hsa:5604 hsa:5605,https://www.kegg.jp/dbget-bin/www_bget?hsa:5604+hsa:5605,"{""name"": ""MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 533, ""y"": 631, ""width"": 46, ""height"": 17}",[]
