id,source,target,type,subtypes,source_entry_id,target_entry_id
relation_1,entry_95,entry_43,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",95,43
relation_2,entry_43,entry_97,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",43,97
relation_3,entry_97,entry_98,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",97,98
relation_4,entry_98,entry_99,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",98,99
relation_5,entry_99,entry_166,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",99,166
relation_6,entry_166,entry_170,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",166,170
relation_7,entry_170,entry_171,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",170,171
relation_8,entry_12,entry_10,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",12,10
relation_9,entry_10,entry_9,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",10,9
relation_10,entry_10,entry_8,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",10,8
relation_11,entry_249,entry_118,PCrel,"[{""name"": ""activation"", ""value"": ""-->""}]",249,118
relation_12,entry_120,entry_118,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",120,118
relation_13,entry_118,entry_263,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",118,263
relation_14,entry_14,entry_264,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",14,264
relation_15,entry_43,entry_37,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",43,37
relation_16,entry_37,entry_19,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",37,19
relation_17,entry_99,entry_19,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",99,19
relation_18,entry_193,entry_194,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",193,194
relation_19,entry_194,entry_19,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",194,19
relation_20,entry_181,entry_180,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",181,180
relation_21,entry_265,entry_19,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",265,19
relation_22,entry_202,entry_266,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",202,266
relation_23,entry_199,entry_19,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",199,19
relation_24,entry_189,entry_267,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",189,267
