id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_5,5,C05981,compound,cpd:C05981,https://www.kegg.jp/dbget-bin/www_bget?C05981,"{""name"": ""C05981"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 423, ""y"": 568, ""width"": 8, ""height"": 8}",[]
entry_6,6,"EIF4E, AUTS19, CBP, EIF4E1, EIF4EL1, EIF4F, eIF-4E...",gene,hsa:1977 hsa:253314 hsa:9470,https://www.kegg.jp/dbget-bin/www_bget?hsa:1977+hsa:253314+hsa:9470,"{""name"": ""EIF4E, AUTS19, CBP, EIF4E1, EIF4EL1, EIF4F, eIF-4E..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 1099, ""y"": 88, ""width"": 46, ""height"": 17}",[]
entry_7,7,"EIF4EBP1, 4E-BP1, 4EBP1, BP-1, PHAS-I",gene,hsa:1978,https://www.kegg.jp/dbget-bin/www_bget?hsa:1978,"{""name"": ""EIF4EBP1, 4E-BP1, 4EBP1, BP-1, PHAS-I"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 1006, ""y"": 88, ""width"": 46, ""height"": 17}",[]
entry_8,8,"RPS6, S6, eS6",gene,hsa:6194,https://www.kegg.jp/dbget-bin/www_bget?hsa:6194,"{""name"": ""RPS6, S6, eS6"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 1099, ""y"": 150, ""width"": 46, ""height"": 17}",[]
entry_9,9,"EIF4B, EIF-4B, PRO1843",gene,hsa:1975,https://www.kegg.jp/dbget-bin/www_bget?hsa:1975,"{""name"": ""EIF4B, EIF-4B, PRO1843"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 1099, ""y"": 123, ""width"": 46, ""height"": 17}",[]
entry_10,10,"RPS6KB1, PS6K, S6K, S6K-beta-1, S6K1, STK14A, p70_S6KA, p70(S6K)-alpha, p70-S6K, p70-alpha...",gene,hsa:6198 hsa:6199,https://www.kegg.jp/dbget-bin/www_bget?hsa:6198+hsa:6199,"{""name"": ""RPS6KB1, PS6K, S6K, S6K-beta-1, S6K1, STK14A, p70_S6KA, p70(S6K)-alpha, p70-S6K, p70-alpha..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 1008, ""y"": 148, ""width"": 46, ""height"": 17}",[]
entry_11,11,"RPTOR, KOG1, Mip1",gene,hsa:57521,https://www.kegg.jp/dbget-bin/www_bget?hsa:57521,"{""name"": ""RPTOR, KOG1, Mip1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 905, ""y"": 133, ""width"": 46, ""height"": 17}",[]
entry_12,12,"MTOR, FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS",gene,hsa:2475,https://www.kegg.jp/dbget-bin/www_bget?hsa:2475,"{""name"": ""MTOR, FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 905, ""y"": 116, ""width"": 46, ""height"": 17}",[]
entry_13,13,"MLST8, GBL, GbetaL, LST8, POP3, WAT1",gene,hsa:64223,https://www.kegg.jp/dbget-bin/www_bget?hsa:64223,"{""name"": ""MLST8, GBL, GbetaL, LST8, POP3, WAT1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 905, ""y"": 99, ""width"": 46, ""height"": 17}",[]
entry_14,14,"RHEB, RHEB2",gene,hsa:6009,https://www.kegg.jp/dbget-bin/www_bget?hsa:6009,"{""name"": ""RHEB, RHEB2"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 823, ""y"": 116, ""width"": 46, ""height"": 17}",[]
