gene,pathway
ERBB3,path:ptr04020
ERBB3,path:ptr04151
ERBB3,path:ptr05205
ERBB3,path:ptr05206
FGFR2,path:ptr01521
FGFR2,path:ptr04010
FGFR2,path:ptr04014
FGFR2,path:ptr04015
FGFR2,path:ptr04020
FGFR2,path:ptr04144
FGFR2,path:ptr04151
FGFR2,path:ptr04550
FGFR2,path:ptr04810
FGFR2,path:ptr05200
FGFR2,path:ptr05215
FGFR2,path:ptr05226
FGFR2,path:ptr05230
KRAS,path:ptr01521
KRAS,path:ptr01522
KRAS,path:ptr04010
KRAS,path:ptr04012
KRAS,path:ptr04014
KRAS,path:ptr04015
KRAS,path:ptr04062
KRAS,path:ptr04068
KRAS,path:ptr04071
KRAS,path:ptr04072
KRAS,path:ptr04137
KRAS,path:ptr04140
KRAS,path:ptr04150
KRAS,path:ptr04151
KRAS,path:ptr04210
KRAS,path:ptr04211
KRAS,path:ptr04213
KRAS,path:ptr04218
KRAS,path:ptr04360
KRAS,path:ptr04370
KRAS,path:ptr04371
KRAS,path:ptr04519
KRAS,path:ptr04540
KRAS,path:ptr04550
KRAS,path:ptr04625
KRAS,path:ptr04650
KRAS,path:ptr04660
KRAS,path:ptr04662
KRAS,path:ptr04664
KRAS,path:ptr04714
KRAS,path:ptr04720
KRAS,path:ptr04722
KRAS,path:ptr04725
KRAS,path:ptr04726
KRAS,path:ptr04730
KRAS,path:ptr04810
KRAS,path:ptr04910
KRAS,path:ptr04912
KRAS,path:ptr04914
KRAS,path:ptr04915
KRAS,path:ptr04916
KRAS,path:ptr04917
KRAS,path:ptr04919
KRAS,path:ptr04921
KRAS,path:ptr04926
KRAS,path:ptr04929
KRAS,path:ptr04933
KRAS,path:ptr04935
KRAS,path:ptr04960
KRAS,path:ptr05010
KRAS,path:ptr05022
KRAS,path:ptr05034
KRAS,path:ptr05160
KRAS,path:ptr05161
KRAS,path:ptr05163
KRAS,path:ptr05165
KRAS,path:ptr05166
KRAS,path:ptr05167
KRAS,path:ptr05170
KRAS,path:ptr05200
KRAS,path:ptr05203
KRAS,path:ptr05205
KRAS,path:ptr05206
KRAS,path:ptr05207
KRAS,path:ptr05208
KRAS,path:ptr05210
KRAS,path:ptr05211
KRAS,path:ptr05212
KRAS,path:ptr05213
KRAS,path:ptr05214
KRAS,path:ptr05215
KRAS,path:ptr05216
KRAS,path:ptr05218
KRAS,path:ptr05219
KRAS,path:ptr05220
KRAS,path:ptr05221
KRAS,path:ptr05223
KRAS,path:ptr05224
KRAS,path:ptr05225
KRAS,path:ptr05226
KRAS,path:ptr05230
KRAS,path:ptr05231
KRAS,path:ptr05235
KRAS,path:ptr05417
MAP2K1,path:ptr01521
MAP2K1,path:ptr01522
MAP2K1,path:ptr04010
MAP2K1,path:ptr04012
MAP2K1,path:ptr04014
MAP2K1,path:ptr04015
MAP2K1,path:ptr04022
MAP2K1,path:ptr04024
MAP2K1,path:ptr04062
MAP2K1,path:ptr04066
MAP2K1,path:ptr04068
MAP2K1,path:ptr04071
MAP2K1,path:ptr04072
MAP2K1,path:ptr04114
MAP2K1,path:ptr04140
MAP2K1,path:ptr04148
MAP2K1,path:ptr04150
MAP2K1,path:ptr04151
MAP2K1,path:ptr04210
MAP2K1,path:ptr04218
MAP2K1,path:ptr04270
MAP2K1,path:ptr04370
MAP2K1,path:ptr04371
MAP2K1,path:ptr04380
MAP2K1,path:ptr04510
MAP2K1,path:ptr04517
MAP2K1,path:ptr04519
MAP2K1,path:ptr04540
MAP2K1,path:ptr04550
MAP2K1,path:ptr04613
MAP2K1,path:ptr04620
MAP2K1,path:ptr04650
MAP2K1,path:ptr04660
MAP2K1,path:ptr04662
MAP2K1,path:ptr04664
MAP2K1,path:ptr04666
MAP2K1,path:ptr04668
MAP2K1,path:ptr04720
MAP2K1,path:ptr04722
MAP2K1,path:ptr04725
MAP2K1,path:ptr04726
MAP2K1,path:ptr04730
MAP2K1,path:ptr04810
MAP2K1,path:ptr04910
MAP2K1,path:ptr04912
MAP2K1,path:ptr04914
MAP2K1,path:ptr04915
MAP2K1,path:ptr04916
MAP2K1,path:ptr04917
MAP2K1,path:ptr04919
MAP2K1,path:ptr04921
MAP2K1,path:ptr04926
MAP2K1,path:ptr04928
MAP2K1,path:ptr04929
MAP2K1,path:ptr04934
MAP2K1,path:ptr04935
MAP2K1,path:ptr05010
