gene,pathway
RAF1,path:ptr04916
RAF1,path:ptr04917
RAF1,path:ptr04919
RAF1,path:ptr04921
RAF1,path:ptr04926
RAF1,path:ptr04928
RAF1,path:ptr04929
RAF1,path:ptr04935
RAF1,path:ptr05010
RAF1,path:ptr05022
RAF1,path:ptr05034
RAF1,path:ptr05132
RAF1,path:ptr05152
RAF1,path:ptr05160
RAF1,path:ptr05161
RAF1,path:ptr05163
RAF1,path:ptr05164
RAF1,path:ptr05165
RAF1,path:ptr05167
RAF1,path:ptr05170
RAF1,path:ptr05200
RAF1,path:ptr05205
RAF1,path:ptr05206
RAF1,path:ptr05207
RAF1,path:ptr05208
RAF1,path:ptr05210
RAF1,path:ptr05211
RAF1,path:ptr05212
RAF1,path:ptr05213
RAF1,path:ptr05214
RAF1,path:ptr05215
RAF1,path:ptr05218
RAF1,path:ptr05219
RAF1,path:ptr05220
RAF1,path:ptr05221
RAF1,path:ptr05223
RAF1,path:ptr05224
RAF1,path:ptr05225
RAF1,path:ptr05226
RAF1,path:ptr05230
RAF1,path:ptr05231
RAF1,path:ptr05235
ROS1,path:ptr04148
ROS1,path:ptr04610
SHC1,path:ptr01521
SHC1,path:ptr01522
SHC1,path:ptr04012
SHC1,path:ptr04014
SHC1,path:ptr04062
SHC1,path:ptr04072
SHC1,path:ptr04510
SHC1,path:ptr04650
SHC1,path:ptr04722
SHC1,path:ptr04910
SHC1,path:ptr04915
SHC1,path:ptr04917
SHC1,path:ptr04926
SHC1,path:ptr04935
SHC1,path:ptr05034
SHC1,path:ptr05100
SHC1,path:ptr05206
SHC1,path:ptr05214
SHC1,path:ptr05220
SHC1,path:ptr05224
SHC1,path:ptr05225
SHC1,path:ptr05226
SOS1,path:ptr01521
SOS1,path:ptr01522
SOS1,path:ptr04010
SOS1,path:ptr04012
SOS1,path:ptr04014
SOS1,path:ptr04062
SOS1,path:ptr04068
SOS1,path:ptr04072
SOS1,path:ptr04150
SOS1,path:ptr04151
SOS1,path:ptr04510
SOS1,path:ptr04540
SOS1,path:ptr04630
SOS1,path:ptr04650
SOS1,path:ptr04660
SOS1,path:ptr04662
SOS1,path:ptr04664
SOS1,path:ptr04714
SOS1,path:ptr04722
SOS1,path:ptr04810
SOS1,path:ptr04910
SOS1,path:ptr04912
SOS1,path:ptr04915
SOS1,path:ptr04917
SOS1,path:ptr04926
SOS1,path:ptr04935
SOS1,path:ptr05034
SOS1,path:ptr05160
SOS1,path:ptr05161
SOS1,path:ptr05163
SOS1,path:ptr05165
SOS1,path:ptr05200
SOS1,path:ptr05205
SOS1,path:ptr05206
SOS1,path:ptr05207
SOS1,path:ptr05208
SOS1,path:ptr05210
SOS1,path:ptr05211
SOS1,path:ptr05213
SOS1,path:ptr05214
SOS1,path:ptr05215
SOS1,path:ptr05220
SOS1,path:ptr05221
SOS1,path:ptr05223
SOS1,path:ptr05224
SOS1,path:ptr05225
SOS1,path:ptr05226
SOS1,path:ptr05231
TSC1,path:ptr04072
TSC1,path:ptr04140
TSC1,path:ptr04150
TSC1,path:ptr04151
TSC1,path:ptr04152
TSC1,path:ptr04211
TSC1,path:ptr04218
TSC1,path:ptr04714
TSC1,path:ptr04910
TSC1,path:ptr05163
TSC1,path:ptr05165
TSC1,path:ptr05168
TSC1,path:ptr05231
