gene,hotspot_freq_luad,n_luad_lines_hotspot,n_luad_lines_screened_hotspot,mean_expr_logTPM,std_expr_logTPM,n_luad_lines_expr,mean_copy_number,n_luad_lines_cn,mean_crispr_dependency,n_luad_lines_crispr_dependency,mean_crispr_effect,n_luad_lines_crispr_effect
OLIG2,0.0,0.0,131.0,0.068,0.2421,83.0,0.947,45.0,0.025,53.0,0.0281,53.0
OLIG3,,,,0.0069,0.0279,83.0,0.8525,45.0,0.1042,53.0,-0.1594,53.0
OLR1,,,,1.5272,2.2378,83.0,1.1037,45.0,0.0146,53.0,0.0785,53.0
OMA1,,,,4.0745,0.6946,83.0,1.1066,45.0,0.045,53.0,-0.0478,53.0
OMD,,,,0.026,0.0286,83.0,0.9883,45.0,0.0103,53.0,0.113,53.0
OMG,,,,0.2844,0.2007,83.0,1.0122,45.0,0.0353,53.0,-0.0207,53.0
OMP,,,,0.1427,0.1561,83.0,1.1991,45.0,0.0294,53.0,0.0039,53.0
ONECUT1,,,,0.2376,0.2655,83.0,1.0537,45.0,0.0101,53.0,0.1183,53.0
ONECUT2,,,,0.9709,1.0061,83.0,0.8138,45.0,0.0265,53.0,0.0664,53.0
ONECUT3,,,,0.25,0.642,83.0,0.8609,45.0,0.0353,53.0,0.0398,53.0
OOEP,,,,0.5927,0.8801,83.0,0.8811,45.0,0.0831,53.0,-0.1172,53.0
OOSP1,,,,0.0139,0.0316,83.0,1.0285,45.0,,,,
OOSP2,,,,0.0003,0.0026,83.0,1.0347,45.0,0.0474,53.0,-0.0369,53.0
OOSP3,,,,0.0338,0.0653,83.0,1.0617,45.0,0.0055,2.0,0.3022,2.0
OOSP4A,,,,0.0083,0.0246,83.0,1.0381,45.0,,,,
OOSP4B,,,,0.0006,0.0058,83.0,1.0429,45.0,,,,
OPA1,,,,5.8576,0.5216,83.0,1.1901,45.0,0.5426,53.0,-0.5135,53.0
OPA3,,,,3.1285,0.5423,83.0,1.0524,45.0,0.0694,53.0,-0.0739,53.0
OPALIN,,,,0.0028,0.0056,83.0,0.9998,45.0,0.0243,53.0,0.0466,53.0
OPCML,,,,0.0442,0.3082,83.0,1.0084,45.0,0.0122,53.0,0.1308,53.0
OPHN1,,,,2.1591,0.7661,83.0,0.7348,45.0,0.0284,53.0,0.0174,53.0
OPLAH,,,,2.6281,1.1129,83.0,1.3417,45.0,0.0187,2.0,0.0564,2.0
OPN1LW,,,,0.0088,0.0567,83.0,,0.0,0.0285,53.0,0.038,53.0
OPN1MW,,,,0.0024,0.0116,83.0,,0.0,,,,
OPN1MW2,,,,0.004,0.0271,83.0,,0.0,,,,
OPN1MW3,,,,0.0001,0.0005,83.0,,0.0,,,,
OPN1SW,,,,0.026,0.0391,83.0,1.1671,45.0,0.0086,53.0,0.1402,53.0
OPN3,,,,4.5258,1.5791,83.0,1.1324,45.0,0.0343,53.0,0.0064,53.0
OPN4,,,,0.0215,0.158,83.0,1.0101,45.0,0.0934,53.0,-0.149,53.0
OPN5,,,,0.0147,0.0294,83.0,1.0248,45.0,0.0554,53.0,-0.0474,53.0
OPRD1,,,,0.1143,0.4885,83.0,0.9348,45.0,0.0156,53.0,0.0886,53.0
OPRK1,,,,0.1542,0.3121,83.0,1.066,45.0,0.0187,53.0,0.0604,53.0
OPRL1,,,,0.629,0.5776,83.0,1.1572,45.0,0.0238,53.0,0.0575,53.0
OPRM1,,,,0.0937,0.2815,83.0,0.8826,45.0,0.0269,53.0,0.0367,53.0
OPRPN,,,,0.0027,0.0145,83.0,0.9051,45.0,0.0426,53.0,-0.0453,53.0
OPTC,,,,0.0064,0.0153,83.0,1.0983,45.0,0.0311,53.0,0.0045,53.0
OPTN,,,,4.5549,1.2945,83.0,0.9542,45.0,0.0155,53.0,0.0818,53.0
OR10A2,,,,0.0081,0.0129,83.0,0.9231,45.0,0.0302,48.0,-0.0165,48.0
OR10A3,,,,0.0297,0.0737,83.0,0.9666,45.0,0.0173,48.0,0.0426,48.0
OR10A4,,,,0.0161,0.0297,83.0,0.9766,45.0,0.2462,48.0,-0.2838,48.0
OR10A5,,,,0.01,0.0232,83.0,1.0091,45.0,0.0198,48.0,0.082,48.0
OR10A6,,,,0.0225,0.0523,83.0,0.9186,45.0,,,,
OR10A7,,,,0.0018,0.0159,83.0,1.1139,45.0,0.1086,48.0,-0.1579,48.0
OR10AC1,,,,0.013,0.0266,83.0,,,,,,
OR10AD1,,,,0.3889,0.4206,83.0,1.2576,45.0,0.0538,48.0,-0.0627,48.0
