ModelID,CellLineName,StrippedCellLineName,OncotreeSubtype,OncotreeCode,OncotreeLineage,Sex,Age,PrimaryOrMetastasis,SampleCollectionSite,ModelSubtypeFeatures,PatientSubtypeFeatures,Stage,PatientTreatmentStatus,GrowthPattern
ACH-001233,VMRC-LCD,VMRCLCD,Lung Adenocarcinoma,LUAD,Lung,Male,,Primary,lung,,,,,Mixed
ACH-001490,COR-L321,CORL321,Lung Adenocarcinoma,LUAD,Lung,Female,58.0,Primary,lung,,,,,Suspension
ACH-002089,201T,201T,Lung Adenocarcinoma,LUAD,Lung,Male,68.0,Primary,lung,,,,,Unknown
ACH-002157,LC-2-ad,LC2AD,Lung Adenocarcinoma,LUAD,Lung,Female,51.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-002172,NCI-H322M,NCIH322M,Lung Adenocarcinoma,LUAD,Lung,Male,52.0,,lung,,,,,Unknown
ACH-002184,PC-3 [JPC-3],PC3JPC3,Lung Adenocarcinoma,LUAD,Lung,Female,48.0,,lung,,,,,Unknown
ACH-002333,HCC-827-GR,HCC827GR,Lung Adenocarcinoma,LUAD,Lung,Female,39.0,,lung,,,,,Unknown
ACH-002337,JHU-028,JHU028,Lung Adenocarcinoma,LUAD,Lung,Male,52.0,Primary,lung,,,,,Adherent
ACH-002497,NCI-H920,NCIH920,Lung Adenocarcinoma,LUAD,Lung,Male,43.0,Primary,lung,,,,,Suspension
ACH-002522,SNU-2292,SNU2292,Lung Adenocarcinoma,LUAD,Lung,Female,39.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-002526,SNU-1327,SNU1327,Lung Adenocarcinoma,LUAD,Lung,Male,84.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-002531,SNU-2535,SNU2535,Lung Adenocarcinoma,LUAD,Lung,Female,57.0,Metastatic,pleural_effusion,,,,Post-treatment,Adherent
ACH-002650,ETCC-016,ETCC016,Lung Adenocarcinoma,LUAD,Lung,Male,53.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-003012,A549_CRAF_KD,A549CRAFKD,Lung Adenocarcinoma,LUAD,Lung,Male,58.0,Primary,lung,,,,,Adherent
