id,source,target,type,subtypes,source_entry_id,target_entry_id
relation_1,entry_95,entry_96,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",95,96
relation_2,entry_52,entry_53,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",52,53
relation_3,entry_126,entry_125,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",126,125
relation_4,entry_188,entry_191,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",188,191
relation_5,entry_140,entry_142,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",140,142
relation_6,entry_140,entry_150,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",140,150
relation_7,entry_140,entry_143,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",140,143
relation_8,entry_140,entry_149,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",140,149
relation_9,entry_153,entry_156,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",153,156
relation_10,entry_153,entry_162,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",153,162
relation_11,entry_153,entry_161,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",153,161
relation_12,entry_153,entry_157,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",153,157
relation_13,entry_157,entry_158,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",157,158
relation_14,entry_157,entry_154,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",157,154
relation_15,entry_162,entry_161,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",162,161
relation_16,entry_150,entry_149,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",150,149
relation_17,entry_108,entry_109,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",108,109
relation_18,entry_107,entry_109,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",107,109
relation_19,entry_109,entry_216,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",109,216
relation_20,entry_217,entry_216,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",217,216
relation_21,entry_187,entry_218,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",187,218
relation_22,entry_218,entry_192,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",218,192
relation_23,entry_63,entry_62,PCrel,"[{""name"": ""activation"", ""value"": ""-->""}]",63,62
relation_24,entry_85,entry_90,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",85,90
relation_25,entry_90,entry_87,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",90,87
relation_26,entry_115,entry_8,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",115,8
relation_27,entry_8,entry_70,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",8,70
relation_28,entry_70,entry_97,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",70,97
relation_29,entry_8,entry_9,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",8,9
relation_30,entry_97,entry_16,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",97,16
relation_31,entry_16,entry_13,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",16,13
relation_32,entry_12,entry_48,PCrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,48
relation_33,entry_48,entry_26,PCrel,"[{""name"": ""activation"", ""value"": ""-->""}]",48,26
relation_34,entry_28,entry_110,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",28,110
relation_35,entry_219,entry_62,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",219,62
relation_36,entry_62,entry_220,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",62,220
relation_37,entry_184,entry_220,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",184,220
relation_38,entry_13,entry_18,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",13,18
relation_39,entry_18,entry_15,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",18,15
relation_40,entry_15,entry_59,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",15,59
relation_41,entry_26,entry_28,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",26,28
