id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_99,99,"NPRL2, FFEVF2, NPR2, NPR2L, TUSC4...",gene,hsa:10641 hsa:8131 hsa:9681,https://www.kegg.jp/dbget-bin/www_bget?hsa:10641+hsa:8131+hsa:9681,"{""name"": ""NPRL2, FFEVF2, NPR2, NPR2L, TUSC4..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 669, ""y"": 126, ""width"": 46, ""height"": 17}",[]
entry_101,101,RNF152,gene,hsa:220441,https://www.kegg.jp/dbget-bin/www_bget?hsa:220441,"{""name"": ""RNF152"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 748, ""y"": 174, ""width"": 46, ""height"": 17}",[]
entry_102,102,"SKP2, FBL1, FBXL1, FLB1, p45",gene,hsa:6502,https://www.kegg.jp/dbget-bin/www_bget?hsa:6502,"{""name"": ""SKP2, FBL1, FBXL1, FLB1, p45"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 748, ""y"": 154, ""width"": 46, ""height"": 17}",[]
entry_103,103,"MIOS, MIO, Sea4, Yulink...",gene,hsa:54468 hsa:6396 hsa:79726 hsa:81929 hsa:84219,https://www.kegg.jp/dbget-bin/www_bget?hsa:54468+hsa:6396+hsa:79726+hsa:81929+hsa:84219,"{""name"": ""MIOS, MIO, Sea4, Yulink..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 579, ""y"": 126, ""width"": 46, ""height"": 17}",[]
entry_105,105,"SESN2, HI95, SES2, SEST2",gene,hsa:83667,https://www.kegg.jp/dbget-bin/www_bget?hsa:83667,"{""name"": ""SESN2, HI95, SES2, SEST2"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 497, ""y"": 113, ""width"": 46, ""height"": 17}",[]
entry_106,106,C00123,compound,cpd:C00123,https://www.kegg.jp/dbget-bin/www_bget?C00123,"{""name"": ""C00123"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 449, ""y"": 112, ""width"": 8, ""height"": 8}",[]
entry_107,107,ATP6V1FP2...,gene,hsa:101927180 hsa:127124 hsa:245973 hsa:51382 hsa:51606 hsa:523 hsa:525 hsa:526 hsa:528 hsa:529 hsa:534 hsa:90423 hsa:9296 hsa:9550,https://www.kegg.jp/dbget-bin/www_bget?hsa:101927180+hsa:127124+hsa:245973+hsa:51382+hsa:51606+hsa:523+hsa:525+hsa:526+hsa:528+hsa:529+hsa:534+hsa:90423+hsa:9296+hsa:9550,"{""name"": ""ATP6V1FP2..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 360, ""y"": 193, ""width"": 46, ""height"": 17}",[]
entry_108,108,"SLC38A9, SNAT9, URLC11",gene,hsa:153129,https://www.kegg.jp/dbget-bin/www_bget?hsa:153129,"{""name"": ""SLC38A9, SNAT9, URLC11"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 360, ""y"": 172, ""width"": 46, ""height"": 17}",[]
entry_109,109,"LAMTOR5, HBXIP, XIP...",gene,hsa:10542 hsa:28956 hsa:389541 hsa:55004 hsa:8649,https://www.kegg.jp/dbget-bin/www_bget?hsa:10542+hsa:28956+hsa:389541+hsa:55004+hsa:8649,"{""name"": ""LAMTOR5, HBXIP, XIP..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 579, ""y"": 183, ""width"": 46, ""height"": 17}",[]
entry_110,110,"CHUK, BPS2, IKBKA, IKK-1, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16",gene,hsa:1147,https://www.kegg.jp/dbget-bin/www_bget?hsa:1147,"{""name"": ""CHUK, BPS2, IKBKA, IKK-1, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 617, ""y"": 494, ""width"": 46, ""height"": 17}",[]
