id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_19,19,C00338,compound,cpd:C00338,https://www.kegg.jp/dbget-bin/www_bget?C00338,"{""name"": ""C00338"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 138, ""y"": 743, ""width"": 8, ""height"": 8}",[]
entry_20,20,"RASGRF1, CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187, ras-GRF1...",gene,hsa:5923 hsa:5924,https://www.kegg.jp/dbget-bin/www_bget?hsa:5923+hsa:5924,"{""name"": ""RASGRF1, CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187, ras-GRF1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 392, ""y"": 236, ""width"": 46, ""height"": 17}",[]
entry_21,21,"DUSP10, MKP-5, MKP5...",gene,hsa:11221 hsa:1843 hsa:1844 hsa:1846 hsa:1847 hsa:1848 hsa:1849 hsa:1850 hsa:1852 hsa:80824,https://www.kegg.jp/dbget-bin/www_bget?hsa:11221+hsa:1843+hsa:1844+hsa:1846+hsa:1847+hsa:1848+hsa:1849+hsa:1850+hsa:1852+hsa:80824,"{""name"": ""DUSP10, MKP-5, MKP5..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 789, ""y"": 364, ""width"": 46, ""height"": 17}",[]
entry_22,22,"DUSP3, VHR...",gene,hsa:1845 hsa:5778 hsa:5801 hsa:84867,https://www.kegg.jp/dbget-bin/www_bget?hsa:1845+hsa:5778+hsa:5801+hsa:84867,"{""name"": ""DUSP3, VHR..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 740, ""y"": 364, ""width"": 46, ""height"": 17}",[]
entry_23,23,"PPM1B, PP2C-beta, PP2C-beta-X, PP2CB, PP2CBETA, PPC2BETAX",gene,hsa:5495,https://www.kegg.jp/dbget-bin/www_bget?hsa:5495,"{""name"": ""PPM1B, PP2C-beta, PP2C-beta-X, PP2CB, PP2CBETA, PPC2BETAX"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 596, ""y"": 770, ""width"": 46, ""height"": 17}",[]
entry_24,24,"FASLG, ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6, TNLG1A",gene,hsa:356,https://www.kegg.jp/dbget-bin/www_bget?hsa:356,"{""name"": ""FASLG, ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6, TNLG1A"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 137, ""y"": 692, ""width"": 46, ""height"": 17}",[]
entry_25,25,C00165,compound,cpd:C00165,https://www.kegg.jp/dbget-bin/www_bget?C00165,"{""name"": ""C00165"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 487, ""y"": 136, ""width"": 8, ""height"": 8}",[]
entry_26,26,C00575,compound,cpd:C00575,https://www.kegg.jp/dbget-bin/www_bget?C00575,"{""name"": ""C00575"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 447, ""y"": 123, ""width"": 8, ""height"": 8}",[]
entry_27,27,C01245,compound,cpd:C01245,https://www.kegg.jp/dbget-bin/www_bget?C01245,"{""name"": ""C01245"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 410, ""y"": 136, ""width"": 8, ""height"": 8}",[]
entry_28,28,C00076,compound,cpd:C00076,https://www.kegg.jp/dbget-bin/www_bget?C00076,"{""name"": ""C00076"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 314, ""y"": 175, ""width"": 8, ""height"": 8}",[]
