id,source,target,type,subtypes,source_entry_id,target_entry_id
relation_1,entry_52,entry_48,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",52,48
relation_2,entry_47,entry_49,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",47,49
relation_3,entry_20,entry_49,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",20,49
relation_4,entry_50,entry_49,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",50,49
relation_5,entry_45,entry_41,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",45,41
relation_6,entry_111,entry_108,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",111,108
relation_7,entry_110,entry_107,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",110,107
relation_8,entry_24,entry_106,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",24,106
relation_9,entry_109,entry_105,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",109,105
relation_10,entry_106,entry_101,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",106,101
relation_11,entry_105,entry_101,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",105,101
relation_12,entry_53,entry_54,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",53,54
relation_13,entry_51,entry_53,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",51,53
relation_14,entry_97,entry_100,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",97,100
relation_15,entry_96,entry_100,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",96,100
relation_16,entry_138,entry_141,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",138,141
relation_17,entry_138,entry_140,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",138,140
relation_18,entry_37,entry_39,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",37,39
relation_19,entry_37,entry_38,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",37,38
relation_20,entry_36,entry_37,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",36,37
relation_21,entry_116,entry_119,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",116,119
relation_22,entry_116,entry_118,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",116,118
relation_23,entry_116,entry_117,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",116,117
relation_24,entry_116,entry_135,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",116,135
relation_25,entry_119,entry_131,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",119,131
relation_26,entry_120,entry_131,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",120,131
relation_27,entry_118,entry_131,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",118,131
relation_28,entry_131,entry_133,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",131,133
relation_29,entry_117,entry_131,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",117,131
relation_30,entry_119,entry_121,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",119,121
relation_31,entry_120,entry_121,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",120,121
relation_32,entry_120,entry_132,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",120,132
relation_33,entry_120,entry_122,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",120,122
relation_34,entry_46,entry_45,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",46,45
relation_35,entry_44,entry_49,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",44,49
relation_36,entry_44,entry_40,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",44,40
relation_37,entry_51,entry_49,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",51,49
relation_38,entry_49,entry_41,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",49,41
relation_39,entry_49,entry_40,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",49,40
relation_40,entry_41,entry_39,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",41,39
relation_41,entry_41,entry_38,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",41,38
relation_42,entry_40,entry_39,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",40,39
relation_43,entry_40,entry_38,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",40,38
relation_44,entry_39,entry_36,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",39,36
relation_45,entry_38,entry_36,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",38,36
relation_46,entry_36,entry_32,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",36,32
relation_47,entry_36,entry_31,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",36,31
relation_48,entry_36,entry_30,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",36,30
relation_49,entry_36,entry_144,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",36,144
relation_50,entry_36,entry_143,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",36,143
relation_51,entry_36,entry_141,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",36,141
relation_52,entry_36,entry_140,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",36,140
relation_53,entry_144,entry_142,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",144,142
relation_54,entry_143,entry_142,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",143,142
relation_55,entry_36,entry_287,PPrel,"[{""name"": ""phosphorylation"", ""value"": ""+p""}]",36,287
relation_56,entry_113,entry_133,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",113,133
relation_57,entry_113,entry_114,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",113,114
