id,source,target,type,subtypes,source_entry_id,target_entry_id
relation_1,entry_32,entry_30,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",32,30
relation_2,entry_32,entry_169,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",32,169
relation_3,entry_32,entry_170,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",32,170
relation_4,entry_20,entry_30,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",20,30
relation_5,entry_20,entry_169,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",20,169
relation_6,entry_20,entry_170,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",20,170
relation_7,entry_153,entry_170,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",153,170
relation_8,entry_153,entry_171,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",153,171
relation_9,entry_75,entry_172,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",75,172
relation_10,entry_75,entry_70,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",75,70
relation_11,entry_70,entry_150,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",70,150
relation_12,entry_104,entry_71,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",104,71
relation_13,entry_148,entry_74,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",148,74
relation_14,entry_105,entry_73,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",105,73
relation_15,entry_106,entry_72,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",106,72
relation_16,entry_107,entry_76,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",107,76
relation_17,entry_120,entry_121,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",120,121
relation_18,entry_122,entry_123,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",122,123
relation_19,entry_93,entry_30,PCrel,"[{""name"": ""inhibition"", ""value"": ""--|""}, {""name"": ""missing interaction"", ""value"": ""-/-""}]",93,30
relation_20,entry_93,entry_9,PCrel,"[{""name"": ""inhibition"", ""value"": ""--|""}, {""name"": ""missing interaction"", ""value"": ""-/-""}]",93,9
relation_21,entry_93,entry_149,PCrel,"[{""name"": ""inhibition"", ""value"": ""--|""}, {""name"": ""missing interaction"", ""value"": ""-/-""}]",93,149
relation_22,entry_92,entry_30,PCrel,"[{""name"": ""inhibition"", ""value"": ""--|""}, {""name"": ""missing interaction"", ""value"": ""-/-""}]",92,30
relation_23,entry_92,entry_9,PCrel,"[{""name"": ""inhibition"", ""value"": ""--|""}, {""name"": ""missing interaction"", ""value"": ""-/-""}]",92,9
relation_24,entry_92,entry_149,PCrel,"[{""name"": ""inhibition"", ""value"": ""--|""}, {""name"": ""missing interaction"", ""value"": ""-/-""}]",92,149
relation_25,entry_30,entry_79,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",30,79
relation_26,entry_30,entry_115,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",30,115
relation_27,entry_30,entry_19,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",30,19
