id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_6,6,Non-small cell lung cancer,map,path:hsa05223,https://www.kegg.jp/dbget-bin/www_bget?hsa05223,"{""name"": ""Non-small cell lung cancer"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 343, ""y"": 117, ""width"": 102, ""height"": 34}",[]
entry_7,7,"ERBB3, ErbB-3, FERLK, HER3, LCCS2, MDA-BF-1, VSCN1, c-erbB-3, c-erbB3, erbB3-S, p180-ErbB3, p45-sErbB3, p85-sErbB3",gene,hsa:2065,https://www.kegg.jp/dbget-bin/www_bget?hsa:2065,"{""name"": ""ERBB3, ErbB-3, FERLK, HER3, LCCS2, MDA-BF-1, VSCN1, c-erbB-3, c-erbB3, erbB3-S, p180-ErbB3, p45-sErbB3, p85-sErbB3"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 253, ""y"": 415, ""width"": 46, ""height"": 17}",[]
entry_8,8,"ERBB2, CD340, HER-2, HER-2/neu, HER2, MLN_19, MLN-19, NEU, NGL, TKR1, VSCN2, c-ERB-2, c-ERB2, p185(erbB2)",gene,hsa:2064,https://www.kegg.jp/dbget-bin/www_bget?hsa:2064,"{""name"": ""ERBB2, CD340, HER-2, HER-2/neu, HER2, MLN_19, MLN-19, NEU, NGL, TKR1, VSCN2, c-ERB-2, c-ERB2, p185(erbB2)"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 253, ""y"": 398, ""width"": 46, ""height"": 17}",[]
entry_9,9,"EGFR, ERBB, ERBB1, ERRP, HER1, NISBD2, NNCIS, PIG61, mENA",gene,hsa:1956,https://www.kegg.jp/dbget-bin/www_bget?hsa:1956,"{""name"": ""EGFR, ERBB, ERBB1, ERRP, HER1, NISBD2, NNCIS, PIG61, mENA"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 253, ""y"": 253, ""width"": 46, ""height"": 17}",[]
entry_10,10,Pancreatic cancer,map,path:hsa05212,https://www.kegg.jp/dbget-bin/www_bget?hsa05212,"{""name"": ""Pancreatic cancer"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 456, ""y"": 117, ""width"": 102, ""height"": 34}",[]
entry_11,11,mTOR signaling pathway,map,path:hsa04150,https://www.kegg.jp/dbget-bin/www_bget?hsa04150,"{""name"": ""mTOR signaling pathway"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 871, ""y"": 263, ""width"": 102, ""height"": 34}",[]
entry_12,12,C00165,compound,cpd:C00165,https://www.kegg.jp/dbget-bin/www_bget?C00165,"{""name"": ""C00165"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 673, ""y"": 504, ""width"": 8, ""height"": 8}",[]
entry_13,13,GSK3B,gene,hsa:2932,https://www.kegg.jp/dbget-bin/www_bget?hsa:2932,"{""name"": ""GSK3B"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 739, ""y"": 398, ""width"": 46, ""height"": 17}",[]
entry_14,14,"EIF4EBP1, 4E-BP1, 4EBP1, BP-1, PHAS-I",gene,hsa:1978,https://www.kegg.jp/dbget-bin/www_bget?hsa:1978,"{""name"": ""EIF4EBP1, 4E-BP1, 4EBP1, BP-1, PHAS-I"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 830, ""y"": 324, ""width"": 46, ""height"": 17}",[]
entry_15,15,"RPS6KB1, PS6K, S6K, S6K-beta-1, S6K1, STK14A, p70_S6KA, p70(S6K)-alpha, p70-S6K, p70-alpha...",gene,hsa:6198 hsa:6199,https://www.kegg.jp/dbget-bin/www_bget?hsa:6198+hsa:6199,"{""name"": ""RPS6KB1, PS6K, S6K, S6K-beta-1, S6K1, STK14A, p70_S6KA, p70(S6K)-alpha, p70-S6K, p70-alpha..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 830, ""y"": 296, ""width"": 46, ""height"": 17}",[]
