id,source,target,type,subtypes,source_entry_id,target_entry_id
relation_1,entry_10,entry_9,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",10,9
relation_2,entry_8,entry_7,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",8,7
relation_3,entry_8,entry_50,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",8,50
relation_4,entry_7,entry_50,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",7,50
relation_5,entry_9,entry_50,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",9,50
relation_6,entry_10,entry_50,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",10,50
relation_7,entry_34,entry_49,PPrel,"[{""name"": ""inhibition"", ""value"": ""--|""}]",34,49
relation_8,entry_6,entry_49,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",6,49
relation_9,entry_50,entry_49,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",50,49
relation_10,entry_6,entry_50,PPrel,"[{""name"": ""inhibition"", ""value"": ""--|""}]",6,50
relation_11,entry_35,entry_162,PPrel,"[{""name"": ""inhibition"", ""value"": ""--|""}]",35,162
relation_12,entry_35,entry_163,PPrel,"[{""name"": ""inhibition"", ""value"": ""--|""}]",35,163
relation_13,entry_12,entry_164,PPrel,"[{""name"": ""inhibition"", ""value"": ""--|""}]",12,164
relation_14,entry_53,entry_164,PPrel,"[{""name"": ""inhibition"", ""value"": ""--|""}]",53,164
relation_15,entry_30,entry_31,PPrel,"[{""name"": ""inhibition"", ""value"": ""--|""}]",30,31
relation_16,entry_50,entry_35,GErel,"[{""name"": ""expression"", ""value"": ""-->""}]",50,35
relation_17,entry_50,entry_12,GErel,"[{""name"": ""expression"", ""value"": ""-->""}]",50,12
relation_18,entry_50,entry_11,GErel,"[{""name"": ""expression"", ""value"": ""-->""}]",50,11
relation_19,entry_50,entry_53,GErel,"[{""name"": ""expression"", ""value"": ""-->""}]",50,53
relation_20,entry_50,entry_40,GErel,"[{""name"": ""expression"", ""value"": ""-->""}]",50,40
relation_21,entry_50,entry_39,GErel,"[{""name"": ""expression"", ""value"": ""-->""}]",50,39
relation_22,entry_50,entry_42,GErel,"[{""name"": ""expression"", ""value"": ""-->""}]",50,42
relation_23,entry_50,entry_43,GErel,"[{""name"": ""expression"", ""value"": ""-->""}]",50,43
