id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_3,3,"SIAH1, BURHAS, SIAH1A",gene,hsa:6477,https://www.kegg.jp/dbget-bin/www_bget?hsa:6477,"{""name"": ""SIAH1, BURHAS, SIAH1A"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 774, ""y"": 710, ""width"": 46, ""height"": 17}",[]
entry_4,4,"IGFBP3, BP-53, IBP-3, IBP3, IGFBP-3",gene,hsa:3486,https://www.kegg.jp/dbget-bin/www_bget?hsa:3486,"{""name"": ""IGFBP3, BP-53, IBP-3, IBP3, IGFBP-3"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 669, ""y"": 631, ""width"": 46, ""height"": 17}",[]
entry_5,5,"GADD45G, CR6, DDIT2, GADD45gamma, GRP17...",gene,hsa:10912 hsa:1647 hsa:4616,https://www.kegg.jp/dbget-bin/www_bget?hsa:10912+hsa:1647+hsa:4616,"{""name"": ""GADD45G, CR6, DDIT2, GADD45gamma, GRP17..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 669, ""y"": 590, ""width"": 46, ""height"": 17}",[]
entry_6,6,"MDM4, BMFS6, HDMX, MDMX, MRP1",gene,hsa:4194,https://www.kegg.jp/dbget-bin/www_bget?hsa:4194,"{""name"": ""MDM4, BMFS6, HDMX, MDMX, MRP1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 305, ""y"": 482, ""width"": 46, ""height"": 17}",[]
entry_7,7,"CHEK1, CHK1, OZEMA21",gene,hsa:1111,https://www.kegg.jp/dbget-bin/www_bget?hsa:1111,"{""name"": ""CHEK1, CHK1, OZEMA21"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 412, ""y"": 228, ""width"": 46, ""height"": 17}",[]
entry_8,8,"ATR, FCTCS, FRP1, MEC1, SCKL, SCKL1",gene,hsa:545,https://www.kegg.jp/dbget-bin/www_bget?hsa:545,"{""name"": ""ATR, FCTCS, FRP1, MEC1, SCKL, SCKL1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 333, ""y"": 228, ""width"": 46, ""height"": 17}",[]
entry_9,9,"CHEK2, CDS1, CHK2, HuCds1, LFS2, PP1425, RAD53, TPDS4, hCds1",gene,hsa:11200,https://www.kegg.jp/dbget-bin/www_bget?hsa:11200,"{""name"": ""CHEK2, CDS1, CHK2, HuCds1, LFS2, PP1425, RAD53, TPDS4, hCds1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 456, ""y"": 201, ""width"": 46, ""height"": 17}",[]
entry_10,10,"ATM, AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1",gene,hsa:472,https://www.kegg.jp/dbget-bin/www_bget?hsa:472,"{""name"": ""ATM, AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 333, ""y"": 201, ""width"": 46, ""height"": 17}",[]
entry_11,11,"RPRM, REPRIMO",gene,hsa:56475,https://www.kegg.jp/dbget-bin/www_bget?hsa:56475,"{""name"": ""RPRM, REPRIMO"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 564, ""y"": 166, ""width"": 46, ""height"": 17}",[]
entry_12,12,"SFN, YWHAS",gene,hsa:2810,https://www.kegg.jp/dbget-bin/www_bget?hsa:2810,"{""name"": ""SFN, YWHAS"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 564, ""y"": 144, ""width"": 46, ""height"": 17}",[]
entry_13,13,"CDK2, CDKN2, p33(CDK2)",gene,hsa:1017,https://www.kegg.jp/dbget-bin/www_bget?hsa:1017,"{""name"": ""CDK2, CDKN2, p33(CDK2)"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 693, ""y"": 141, ""width"": 46, ""height"": 17}",[]
entry_14,14,"CCNE1, CCNE, pCCNE1...",gene,hsa:898 hsa:9134,https://www.kegg.jp/dbget-bin/www_bget?hsa:898+hsa:9134,"{""name"": ""CCNE1, CCNE, pCCNE1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 693, ""y"": 124, ""width"": 46, ""height"": 17}",[]
entry_15,15,Cell cycle,map,path:hsa04110,https://www.kegg.jp/dbget-bin/www_bget?hsa04110,"{""name"": ""Cell cycle"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 305, ""y"": 530, ""width"": 103, ""height"": 34}",[]
entry_16,16,Apoptosis,map,path:hsa04210,https://www.kegg.jp/dbget-bin/www_bget?hsa04210,"{""name"": ""Apoptosis"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 1077, ""y"": 294, ""width"": 103, ""height"": 34}",[]
entry_17,17,"TSC2, LAM, PPP1R160, TSC4",gene,hsa:7249,https://www.kegg.jp/dbget-bin/www_bget?hsa:7249,"{""name"": ""TSC2, LAM, PPP1R160, TSC4"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 617, ""y"": 631, ""width"": 46, ""height"": 17}",[]
entry_18,18,"PPM1D, IDDGIP, JDVS, PP2C-DELTA, WIP1",gene,hsa:8493,https://www.kegg.jp/dbget-bin/www_bget?hsa:8493,"{""name"": ""PPM1D, IDDGIP, JDVS, PP2C-DELTA, WIP1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 827, ""y"": 710, ""width"": 46, ""height"": 17}",[]
entry_19,19,"TP73, CILD47, P73",gene,hsa:7161,https://www.kegg.jp/dbget-bin/www_bget?hsa:7161,"{""name"": ""TP73, CILD47, P73"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 879, ""y"": 710, ""width"": 46, ""height"": 17}",[]
