id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_7,7,MAPK signaling pathway,map,path:hsa04010,https://www.kegg.jp/dbget-bin/www_bget?hsa04010,"{""name"": ""MAPK signaling pathway"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 953, ""y"": 533, ""width"": 110, ""height"": 34}",[]
entry_8,8,TITLE:Ras signaling pathway,map,path:hsa04014,https://www.kegg.jp/dbget-bin/www_bget?hsa04014,"{""name"": ""TITLE:Ras signaling pathway"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 157, ""y"": 58, ""width"": 233, ""height"": 25}",[]
entry_9,9,"MAPK1, ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK...",gene,hsa:5594 hsa:5595,https://www.kegg.jp/dbget-bin/www_bget?hsa:5594+hsa:5595,"{""name"": ""MAPK1, ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 1045, ""y"": 572, ""width"": 46, ""height"": 17}",[]
entry_10,10,"MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1...",gene,hsa:5604 hsa:5605,https://www.kegg.jp/dbget-bin/www_bget?hsa:5604+hsa:5605,"{""name"": ""MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 972, ""y"": 572, ""width"": 46, ""height"": 17}",[]
entry_11,11,"RAF1, CMD1NN, CRAF, NS5, Raf-1, c-Raf",gene,hsa:5894,https://www.kegg.jp/dbget-bin/www_bget?hsa:5894,"{""name"": ""RAF1, CMD1NN, CRAF, NS5, Raf-1, c-Raf"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 854, ""y"": 572, ""width"": 46, ""height"": 17}",[]
entry_12,12,"RRAS2, NS12, TC21...",gene,hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237,https://www.kegg.jp/dbget-bin/www_bget?hsa:22800+hsa:22808+hsa:3265+hsa:3845+hsa:4893+hsa:6237,"{""name"": ""RRAS2, NS12, TC21..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 683, ""y"": 450, ""width"": 46, ""height"": 17}",[]
entry_16,16,PI3K-Akt signaling pathway,map,path:hsa04151,https://www.kegg.jp/dbget-bin/www_bget?hsa04151,"{""name"": ""PI3K-Akt signaling pathway"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 847, ""y"": 329, ""width"": 110, ""height"": 34}",[]
entry_18,18,"GRB2, ASH, EGFRBP-GRB2, Grb3-3, MST084, MSTP084, NCKAP2",gene,hsa:2885,https://www.kegg.jp/dbget-bin/www_bget?hsa:2885,"{""name"": ""GRB2, ASH, EGFRBP-GRB2, Grb3-3, MST084, MSTP084, NCKAP2"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 271, ""y"": 220, ""width"": 46, ""height"": 17}",[]
entry_19,19,"SOS1, GF1, GGF1, GINGF, HGF, NS4, SOS-1...",gene,hsa:6654 hsa:6655,https://www.kegg.jp/dbget-bin/www_bget?hsa:6654+hsa:6655,"{""name"": ""SOS1, GF1, GGF1, GINGF, HGF, NS4, SOS-1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 398, ""y"": 233, ""width"": 46, ""height"": 17}",[]
entry_22,22,C05981,compound,cpd:C05981,https://www.kegg.jp/dbget-bin/www_bget?C05981,"{""name"": ""C05981"", ""type"": ""circle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 872, ""y"": 282, ""width"": 8, ""height"": 8}",[]
